3 qid:1 1:0 2:0 3:0 4:0 5:0.034482758620689655 6:0.00860832137733142 7:0.0038654380918453613 8:0.00011165639605055377 9:0.0 10:0.024793388429752067 11:0.2 12:0.0675531914893617 13:0.0 14:1.0 15:0.0 16:0.0 17:0.0 18:0.09279327357678861 19:0.10271344511154876 20:0.09751889840343779 21:0.2296650717703349 22:0.008551483420593368 23:0.1875 24:0.125 25:0.09090909090909091 26:0.08056872037914692 27:0.007352941176470588 28:0.007957559681697613 29:0.0020288548241659153 30:0.1111111111111111 31:0.034858387799564274 32:0.18480492813141683 33:0 # 13
4 qid:1 1:0 2:0 3:0 4:0 5:0.027586206896551724 6:0.002152080344332855 7:0.0017705514230873525 8:0.00040940678551869714 9:0.0 10:0.027548209366391185 11:0.6 12:0.0627659574468085 13:0.0 14:1.0 15:0.0 16:0.0 17:0.0 18:0.08516532886066851 19:0.09814314874563772 20:0.09134751105674226 21:0.23245614035087722 22:0.0014834205933682374 23:0.125 24:0.0625 25:0.045454545454545456 26:0.009478672985781991 27:0.0024509803921568627 28:0.002652519893899204 29:0.0006762849413886385 30:0.1111111111111111 31:0.03776325344952796 32:0.21560574948665295 33:0 # 14
1 qid:1 1:0 2:0 3:0 4:0 5:0.006896551724137931 6:0.0007173601147776184 7:5.31697124050256e-06 8:5.31697124050256e-06 9:0.0 10:0.030303030303030304 11:0.3 12:0.009574468085106383 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.078968952456433 19:0.09228034097988665 20:0.08531003515477027 21:0.23076923076923078 22:0.0006108202443280978 23:0.0625 24:0.0625 25:0.045454545454545456 26:0.0 27:0.0 28:0.0008841732979664014 29:0.0004508566275924256 30:0.1111111111111111 31:0.03848946986201888 32:0.24024640657084187 33:0 # 15
2 qid:1 1:0 2:0 3:0 4:0 5:0.05517241379310345 6:0.010043041606886656 7:0.007629853730121173 8:0.0014302652636951887 9:0.0 10:0.03305785123966942 11:0.3 12:0.1946808510638298 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.07333259169248148 19:0.08569359132340629 20:0.07922094216438812 21:0.2180451127819549 22:0.00968586387434555 23:0.125 24:0.125 25:0.09090909090909091 26:0.08530805687203792 27:0.0 28:0.008841732979664015 29:0.0018034265103697023 30:0.1111111111111111 31:0.04429920116194626 32:0.24024640657084187 33:0 # 16
3 qid:1 1:0 2:0 3:0 4:0 5:0.020689655172413793 6:0.00430416068866571 7:0.00027116553326563057 8:0.001281390068961117 9:0.0 10:0.03581267217630854 11:0.45 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.06951799049558724 19:0.08627993239832313 20:0.07750279685915332 21:0.23157894736842108 22:0.0036649214659685864 23:0.0625 24:0.0625 25:0.045454545454545456 26:0.004739336492890996 27:0.00980392156862745 28:0.009725906277630416 29:0.002254283137962128 30:0.1111111111111111 31:0.04647785039941903 32:0.2895277207392197 33:0 # 17
3 qid:1 1:0 2:0 3:0 4:0 5:0.020689655172413793 6:0.005738880918220947 7:0.0001860939934175896 8:8.507153984804096e-05 9:0.0 10:0.03856749311294766 11:0.35 12:0.022872340425531913 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.06607538636635917 19:0.08109732007638111 20:0.07323131332141401 21:0.22697368421052633 22:0.0038394415357766143 23:0.0625 24:0.1875 25:0.13636363636363635 26:0.004739336492890996 27:0.012254901960784314 28:0.002652519893899204 29:0.0009017132551848512 30:0.1111111111111111 31:0.048656499636891795 32:0.30800821355236135 33:0 # 18
4 qid:1 1:0 2:0 3:2 4:0 5:0.006896551724137931 6:0.0007173601147776184 7:5.31697124050256e-06 8:5.31697124050256e-06 9:0.0 10:0.0 11:0.3 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.06224497706114912 19:0.07646245434369178 20:0.06901768894251971 21:0.22291021671826625 22:8.726003490401397e-05 23:0.0625 24:0.0 25:0.045454545454545456 26:0.0 27:0.0 28:0.0008841732979664014 29:0.0002254283137962128 30:0.1111111111111111 31:0.0 32:0.0 33:0 # 19
3 qid:1 1:0 2:0 3:0 4:0 5:0.006896551724137931 6:0.0007173601147776184 7:5.31697124050256e-06 8:5.31697124050256e-06 9:0.0 10:0.0027548209366391185 11:0.35 12:0.017553191489361703 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0587902506555915 19:0.07221819831288456 20:0.06518685807290305 21:0.2134502923976608 22:8.726003490401397e-05 23:0.0625 24:0.0 25:0.045454545454545456 26:0.0 27:0.0 28:0.0008841732979664014 29:0.0004508566275924256 30:0.1111111111111111 31:0.0007262164124909223 32:0.006160164271047227 33:0 # 20
4 qid:1 1:0 2:0 3:0 4:0 5:0.006896551724137931 6:0.005021520803443328 7:0.001196318529113076 8:0.00020736187837959983 9:0.0 10:0.04132231404958678 11:0.4 12:0.08085106382978724 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.055699179661145196 19:0.06842070607479389 20:0.06175927255798289 21:0.20498614958448755 22:0.005322862129144851 23:0.0625 24:0.1875 25:0.13636363636363635 26:0.009478672985781991 27:0.0 28:0.009725906277630416 29:0.001127141568981064 30:0.1111111111111111 31:0.04938271604938271 32:0.32648870636550303 33:0 # 21
4 qid:1 1:0 2:0 3:0 4:0 5:0.013793103448275862 6:0.007890961262553802 7:0.0011059300180245326 8:0.00015419216597457424 9:0.0 10:0.0440771349862259 11:0.3 12:0.015425531914893617 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0530310291122559 19:0.06574043589912425 20:0.059085348640255955 21:0.19736842105263158 22:0.009424083769633508 23:0.0625 24:0.25 25:0.18181818181818182 26:0.07582938388625593 27:0.0 28:0.01237842617152962 29:0.0029305680793507666 30:0.1111111111111111 31:0.050835148874364564 32:0.3326488706365503 33:0 # 22
3 qid:1 1:0 2:0 3:0 4:0 5:0.006896551724137931 6:0.0007173601147776184 7:0.00017014307969608191 8:0.00017014307969608191 9:0.0 10:0.046831955922865015 11:0.2 12:0.027127659574468086 13:0.0 14:1.0 15:0.0 16:0.0 17:0.0 18:0.05058846349130283 19:0.06326212581562553 20:0.056625755600066316 21:0.19298245614035087 22:0.0004363001745200698 23:0.0625 24:0.0625 25:0.045454545454545456 26:0.0 27:0.0 28:0.005305039787798408 29:0.0 30:0.1111111111111111 31:0.05156136528685548 32:0.3305954825462012 33:0 # 23
3 qid:1 1:0 2:0 3:2 4:0 5:0.11724137931034483 6:0.010760401721664276 7:0.005327605182983565 8:0.00130797492516363 9:0.0 10:0.049586776859504134 11:0.35 12:0.03829787234042553 13:0.0 14:0.0 15:0.0 16:0.0 17:1.0 18:0.0483761177124062 19:0.060482350335514225 20:0.054143106039219714 21:0.18660287081339713 22:0.008638743455497382 23:0.125 24:0.25 25:0.18181818181818182 26:0.04739336492890995 27:0.01715686274509804 28:0.005305039787798408 29:0.002705139765554554 30:0.1111111111111111 31:0.06390704429920116 32:0.3106776180698152 33:0 # 24
4 qid:1 1:0 2:0 3:0 4:0 5:0.21379310344827587 6:0.012195121951219513 7:0.005125560275844468 8:0.0011006130467840298 9:0.0 10:0.05234159779614325 11:0.35 12:0.04734042553191489 13:1.0 14:0.0 15:0.0 16:0.0 17:1.0 18:0.046913496648105804 19:0.060721269048757374 20:0.053491039367866644 21:0.21739130434782608 22:0.009773123909249564 23:0.125 24:0.25 25:0.18181818181818182 26:0.06635071090047394 27:0.007352941176470588 28:0.007957559681697613 29:0.006537421100090171 30:0.1111111111111111 31:0.08641975308641975 32:0.4129363449691991 33:0 # 25
