pr_number,priorities_number,author_identity,has_labels,mergable_state,has_assignees_content,commit_num,file_changed_num,total_add_line,total_delete_line,label_count,pre_prs,title_words,body_words,has_bug,has_document,has_feature,has_improve,has_refactor,directory_num,subsystem_num,language_num,file_type_num,segs_added_num,segs_deleted_num,segs_updated_num,changes_files_modified,file_developer_num,change_num,recent_change_num,testinclusion
259,0,0,0,0,0,0,1,2,3,0,2,3,3,0,0,0,0,0,2,0,1,1,1,1,2,1,0,2,0,0
260,4,2,0,0,0,2,3,3,3,0,4,1,3,0,0,0,0,0,3,1,1,1,2,1,3,4,0,4,4,0
262,4,0,0,0,0,2,3,4,3,0,1,2,2,0,0,0,0,0,3,1,1,1,3,1,2,3,0,1,0,0
263,3,0,0,0,0,2,3,3,2,0,2,1,3,0,0,0,0,0,2,1,1,1,3,0,2,3,0,2,0,0
264,1,0,0,0,0,1,2,3,1,0,2,3,3,0,0,0,0,0,2,1,1,1,3,0,1,4,0,2,0,0
265,0,0,0,0,0,1,0,1,0,0,3,3,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,4,0
266,1,0,0,0,0,1,2,0,3,0,4,3,4,0,0,0,0,0,3,1,1,1,2,1,2,4,0,4,4,0
267,0,0,0,0,0,1,2,0,3,0,3,3,4,0,0,0,0,0,3,1,1,1,2,1,2,3,0,4,3,0
268,2,0,0,0,0,2,3,4,3,0,1,0,4,0,0,0,0,0,4,1,4,1,3,1,2,3,0,1,1,0
269,3,0,0,0,0,2,3,2,1,0,1,2,2,0,0,0,0,0,2,1,1,1,3,1,2,2,0,1,1,0
270,0,0,0,2,0,0,1,2,1,0,2,2,3,0,0,0,0,0,1,0,1,1,1,1,2,0,0,2,0,0
271,1,0,0,0,0,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0
272,2,0,0,0,0,2,2,1,1,0,1,0,4,0,0,0,0,0,2,1,1,1,2,0,2,3,0,1,1,0
273,2,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,2,0,0,1,0,1,1,0
274,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
275,4,0,0,0,0,2,3,4,3,0,3,0,4,0,0,0,0,0,4,1,1,1,3,1,2,3,0,4,3,0
276,3,0,0,0,0,2,2,3,2,0,1,3,3,0,0,0,0,0,2,1,1,1,3,1,2,2,0,1,1,0
277,3,0,0,0,0,2,3,4,3,0,1,3,4,0,0,0,0,0,4,1,1,1,3,1,2,2,0,1,1,0
278,1,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
279,3,0,0,0,0,2,3,3,3,0,1,0,0,0,0,0,0,0,3,1,1,1,2,0,3,3,0,1,0,0
280,0,0,0,0,0,0,1,1,2,0,2,3,1,0,0,0,0,0,1,1,0,0,1,0,2,1,0,2,0,0
281,4,0,0,0,0,1,1,2,2,0,1,3,0,0,0,0,0,0,1,1,0,0,3,1,1,2,0,1,0,0
282,1,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
283,3,0,0,0,0,2,3,2,3,0,1,0,3,0,0,0,0,0,3,1,1,1,1,1,3,3,0,1,0,0
284,3,0,0,0,0,2,3,3,2,0,1,0,2,0,0,0,0,1,3,1,1,1,3,1,2,2,0,1,0,0
285,3,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0
286,0,2,0,0,0,2,3,4,3,0,4,3,2,0,0,0,0,0,4,1,4,1,3,1,2,3,0,4,4,0
287,0,0,0,2,0,0,1,2,0,0,2,3,2,0,0,0,0,0,1,0,1,1,1,0,1,1,0,2,0,0
288,0,0,0,0,0,2,2,3,3,0,4,2,3,0,0,0,0,0,2,1,1,1,1,1,3,2,4,4,4,0
289,0,0,0,0,0,2,2,3,2,0,3,2,3,0,0,0,0,0,2,1,1,1,3,1,2,2,4,4,4,0
290,3,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
291,1,0,0,0,0,0,1,1,0,0,2,4,0,0,0,0,0,0,2,1,1,1,2,0,2,2,0,2,0,0
292,2,0,0,0,0,0,2,1,3,0,2,2,0,0,0,0,0,0,2,1,1,1,1,1,3,2,0,2,0,0
293,2,2,0,0,0,1,1,0,3,0,4,4,3,0,0,0,0,0,2,1,1,1,1,1,2,1,4,4,4,0
294,1,2,0,0,0,1,2,0,3,0,3,4,3,0,0,0,0,0,3,1,1,1,2,1,2,1,4,4,4,0
295,2,0,0,2,0,2,1,2,2,0,3,3,2,0,0,0,0,0,2,0,1,1,1,1,2,0,4,4,4,0
296,1,0,0,2,0,2,1,4,0,0,3,3,1,0,0,0,0,0,1,1,1,1,3,0,3,0,4,4,4,0
297,2,0,0,2,0,2,0,2,0,0,1,3,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0
298,2,0,0,0,0,2,3,4,3,0,2,3,3,0,0,0,0,0,3,1,1,1,3,1,2,3,0,2,0,0
299,0,2,0,0,0,0,1,1,1,0,4,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,4,0
300,3,0,0,0,0,2,3,4,3,0,2,1,2,0,0,0,0,0,4,1,1,1,3,1,2,3,0,2,0,0
301,1,0,0,0,0,0,0,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
302,3,0,0,2,0,0,0,1,1,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
303,0,0,0,2,0,0,1,1,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
304,1,0,0,0,0,1,3,3,2,0,2,1,3,0,0,0,0,0,3,1,1,1,1,1,1,3,0,2,0,0
305,2,0,0,0,0,2,3,4,3,0,2,0,1,0,0,0,0,0,3,1,1,1,3,1,2,3,0,2,0,0
306,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,2,0
307,3,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,2,0
308,2,0,0,0,0,1,1,2,2,0,2,2,2,0,0,0,0,0,1,1,1,1,1,1,2,1,0,2,0,0
309,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0
311,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,0,0,0,2,1,1,1,1,1,0,2,0,1,2,0
312,3,0,0,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0
