pr_number,priorities_number,author_identity,has_labels,mergable_state,has_assignees_content,self_accept_rate,self_closed_num_rate,self_contribution_rate,project_accept_rate,is_weekday,comment_num,review_comment_num,commit_num,file_changed_num,total_add_line,total_delete_line,label_count,workload,pre_prs,change_num,accept_num,close_num,review_num,participants_count,title_words,body_words,has_bug,has_document,has_feature,has_improve,has_refactor,deletions_per_week,additions_per_week,changes_per_week,per_lines_deleted_week_days,per_lines_added_week_days,per_lines_changed_week_days,deletions_per_pr,additions_per_pr,changes_per_pr,commits_average,comments_per_closed_pr,comments_per_merged_pr,close_latency,merge_latency
2120,2,2,0,0,0,0.9734375,0.9953125,0.47372316802368614,0.7039230199851961,1,0,0,1,10,43,28,0,10,640,262639,624,637,0,1,13,16,0,0,0,0,0,1011.5394190871369,1159.0414937759335,2170.5809128630704,115.88936170212766,271.9872340425532,387.87659574468086,180.90821613619542,208.91265729089562,389.82087342709104,2.2746113989637307,2.472781506338553,2.2628811777076763,8.134228187919463,3.3038906414300735
2121,4,2,0,0,0,0.9734789391575663,0.9953198127925117,0.47411242603550297,0.7041420118343196,1,0,0,1,25,75,7,0,10,641,262710,625,638,0,1,8,2,0,0,0,0,0,1011.5394190871369,1159.0414937759335,2170.5809128630704,115.51694915254237,271.0169491525424,386.53389830508473,180.79511834319527,208.78994082840237,389.5850591715976,2.2736686390532546,2.470938897168405,2.2605042016806722,8.128912071535023,3.301470588235294
2122,3,2,0,0,0,0.9735202492211839,0.9953271028037384,0.4745011086474501,0.704360679970436,1,0,0,1,20,230,5678,0,10,642,262792,626,639,0,1,5,0,0,0,0,0,0,1011.5394190871369,1159.0414937759335,2170.5809128630704,115.05907172995781,270.1898734177215,385.2489451476793,180.66666666666666,208.6910569105691,389.3577235772358,2.272727272727273,2.4690990320178705,2.2581322140608604,8.123603871928518,3.2990556138509968
2123,4,2,1,0,0,0.973561430793157,0.995334370139969,0.47488921713441656,0.7045790251107829,1,1,0,1,3,3,3,2,10,643,268700,627,640,0,1,6,3,0,0,0,0,0,1011.5394190871369,1159.0414937759335,2170.5809128630704,82.33980582524272,286.16990291262135,368.50970873786406,184.72673559822746,208.70679468242244,393.4335302806499,2.2717872968980797,2.4672619047619047,2.2557651991614254,8.118303571428571,3.29664570230608
2127,1,2,0,0,0,0.9736024844720497,0.9953416149068323,0.4752767527675277,0.7047970479704797,1,0,1,2,23,1334,89,0,10,644,268706,628,641,265,1,11,14,1,0,0,0,0,1033.5661157024792,1167.7355371900826,2201.301652892562,162.60153256704982,166.7471264367816,329.3486590038314,184.59261992619926,208.5549815498155,393.14760147601476,2.270848708487085,2.466171003717472,2.2544502617801045,8.113011152416357,3.2942408376963352
2128,0,1,1,2,0,0.7,1.0,0.007374631268436578,0.7042772861356932,1,4,1,14,9,252,31,3,11,10,1740,7,10,5,4,7,20,0,0,1,0,0,1033.5661157024792,1167.7355371900826,2201.301652892562,138.4327731092437,270.02100840336135,408.453781512605,184.52212389380531,209.3849557522124,393.9070796460177,2.2706489675516224,2.466171003717472,2.2544502617801045,8.113011152416357,3.2942408376963352
2129,2,2,0,0,0,0.9736434108527132,0.9953488372093023,0.47531319086219603,0.7044952100221076,1,0,0,2,10,299,22,0,11,645,270129,629,642,0,1,4,2,0,0,0,0,0,1033.5661157024792,1167.7355371900826,2201.301652892562,137.98326359832635,269.9456066945607,407.92887029288704,184.4089904200442,209.41635961680177,393.825350036846,2.2792925571112748,2.4643387815750373,2.252092050209205,8.107726597325408,3.2918410041841004
2130,2,2,0,0,0,0.9736842105263158,0.9953560371517027,0.47569955817378495,0.7047128129602357,1,0,0,1,27,1435,140,0,11,646,270450,630,643,0,1,7,26,0,0,0,0,0,1033.5661157024792,1167.7355371900826,2201.301652892562,455.7533039647577,200.19383259911893,655.9471365638766,184.28939617083947,209.4823269513991,393.7717231222386,2.2790868924889542,2.4625092798812176,2.2497387669801463,8.102449888641425,3.2894461859979103
2131,3,2,0,0,0,0.973724884080371,0.9953632148377125,0.4760853568800589,0.7049300956585725,1,0,4,2,245,178,19323,0,11,647,272025,631,644,266,2,3,2,0,0,0,0,0,1033.5661157024792,1167.7355371900826,2201.301652892562,454.36842105263156,205.609649122807,659.9780701754386,184.25680647534952,210.3841059602649,394.64091243561444,2.2781456953642385,2.4606824925816024,2.2473903966597075,8.097181008902076,3.2870563674321502
2133,3,2,0,0,0,0.9737654320987654,0.9953703703703703,0.4764705882352941,0.7051470588235295,1,1,0,1,3,13,0,0,11,648,291526,632,645,0,1,9,9,0,0,0,0,0,1033.5661157024792,1167.7355371900826,2201.301652892562,536.764192139738,205.4890829694323,742.2532751091703,198.3294117647059,210.36029411764707,408.68970588235294,2.277941176470588,2.4588584136397333,2.2450469238790407,8.091919940696812,3.2846715328467155
