Id,author_identity,has_labels,mergable_state,has_assignees_content,comment_num,review_comment_num,commit_num,file_changed_num,total_add_line,total_delete_line,self_accept_rate,self_closed_num_rate,self_contribution_rate,project_accept_rate,is_weekday,label_count,workload,pre_prs,change_num,accept_num,close_num,review_num,participants_count,title_words,body_words,has_bug,has_document,has_feature,has_improve,has_refactor,deletions_per_week,additions_per_week,changes_per_week,per_lines_deleted_week_days,per_lines_added_week_days,per_lines_changed_week_days,deletions_per_pr,additions_per_pr,changes_per_pr,commits_average,comments_per_closed_pr,comments_per_merged_pr,close_latency,merge_latency,response_speed,if_merged
10,1,0,2,0,1,0,0.0,0.2,1,0.03333333333333333,0.0,0.0001,0.00012512512512512512,2.661207389792749e-05,1.6890802497381924e-05,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.2,0.004984051036682616,0.0,0.0,0.0,0.0,0.0,0.0690424817791367,0.10510062649152326,0.09396618049142445,0.0017308929501427945,0.0002566339886054509,0.0006132711885195633,0.2226774991169198,0.1917781246248049,0.22329475498645654,0.13974486458197044,0.5925925925925926,0.2872340425531915,0.13767355034418388,0.336734693877551,92.81666666666666,0
11,0,0,2,0,1,0,0.0,0.2727272727272727,1,0.016666666666666666,0.0,0.0001,0.00012512512512512512,3.80172484256107e-06,3.0710549995239865e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0690424817791367,0.10510062649152326,0.09396618049142445,0.0032694644613808343,0.0007699019658163527,0.0014309661065456478,0.2031405542532353,0.17475632783592923,0.2035548790042757,0.13142150274166498,0.5454545454545455,0.19148936170212766,0.12015146211856048,0.336734693877551,24.85,1
12,1,0,2,0,0.0,1.0,0.08333333333333333,0.3333333333333333,1,0.016666666666666666,0.0,0.0001,0.00012512512512512512,3.80172484256107e-06,3.0710549995239865e-06,0.0,0.0,0.001567398119122257,9.926543577526305e-05,0.0,0.001567398119122257,0.0,0.038461538461538464,0.24,0.004585326953748007,0.0,0.0,0.0,0.0,0.0,0.0690424817791367,0.10510062649152326,0.09396618049142445,0.8166929903090419,0.3394626084278602,0.49809885931558934,0.1863299187566231,0.16024732861087765,0.18667405400968565,0.12448536787474379,0.5277777777777778,0.2872340425531915,0.11358067903395169,0.336734693877551,44.7,0
13,2,0,2,0,1,0,0.0,0.3076923076923077,1,0.06666666666666667,0.0,0.0001,0.00037537537537537537,9.314225864274621e-05,1.6890802497381924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.36,0.009170653907496013,0.0,0.0,0.0,0.0,0.0,0.0690424817791367,0.10510062649152326,0.09396618049142445,0.5448466364171708,0.22639395028144194,0.3322294451939981,0.17210553487487432,0.1479704831127571,0.17239027901426326,0.11861633067965661,0.5128205128205129,0.2872340425531915,0.10802078565466736,0.336734693877551,19758.283333333333,0
14,0,0,2,0,1,0,0.0,0.2857142857142857,1,0.05,0.0,0.0001,0.00012512512512512512,0.00010454743317042942,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.44,0.0043859649122807015,0.0,0.0,0.0,0.0,0.0,0.0690424817791367,0.10510062649152326,0.09396618049142445,0.0,0.0002566339886054509,0.0002453084754078253,0.16036736135641116,0.13853575287721043,0.161132022373096,0.11358572736958189,0.5128205128205129,0.2872340425531915,0.10802078565466736,0.336734693877551,712.7833333333333,0
15,0,0,2,0,1,0,0.0,0.26666666666666666,1,0.016666666666666666,0.0,0.0001,0.00012512512512512512,9.504312106402676e-06,4.60658249928598e-06,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.28,0.003987240829346092,0.0,0.0,0.0,0.0,0.0,0.05812063124976065,0.08945049373531481,0.07967103843830203,0.012116250650999562,0.0026946568803572347,0.005151477983564332,0.14967620393265044,0.13048865410013208,0.15129278502831814,0.10922587116751713,0.5476190476190476,0.2872340425531915,0.10620531026551329,0.336734693877551,464.3333333333333,0
16,2,0,2,0,1,0,0.0,0.25,1,0.08333333333333333,0.0,0.0003,0.00012512512512512512,0.0001900862421280535,7.524084748833766e-05,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.04,0.008373205741626795,0.0,0.0,0.0,0.0,0.0,0.05812063124976065,0.08945049373531481,0.07967103843830203,0.4102216291838423,0.17136734589128985,0.2510118974610573,0.14045390321441187,0.12243441589626607,0.14196010834769762,0.10541099699071046,0.5333333333333333,0.2872340425531915,0.10187842725469608,0.336734693877551,514.5833333333334,0
17,2,0,2,0,0.0,0.0,0.058823529411764705,0.23529411764705882,1,0.016666666666666666,0.0,0.0001,0.001001001001001001,0.0014693666516498536,0.0,0.0,0.01282051282051282,0.001567398119122257,0.00023823704586063132,0.0,0.0,0.0,0.038461538461538464,0.44,0.059609250398724084,0.0,0.0,0.0,0.0,0.0,0.05812063124976065,0.08945049373531481,0.07967103843830203,0.33383155365087364,0.1396602165990864,0.20446461425242243,0.1342281879194631,0.11713926535916325,0.13576777669945103,0.10771409440395288,0.6041666666666666,0.2872340425531915,0.09809240462023101,0.336734693877551,9858.033333333333,0
18,0,0,2,0,0.0,1.0,0.05555555555555555,0.2222222222222222,1,0.016666666666666666,0.0,0.0001,0.00012512512512512512,3.80172484256107e-06,3.0710549995239865e-06,0.0,0.02564102564102564,0.001567398119122257,0.0002183839587055787,0.0,0.001567398119122257,0.0,0.038461538461538464,0.44,0.0023923444976076554,0.0,0.0,0.0,0.0,0.0,0.05812063124976065,0.08945049373531481,0.07967103843830203,0.07702473628135435,0.017258635733716575,0.0328713357046486,0.1267710663683818,0.12455276743906832,0.13879996716736434,0.10440708273365606,0.6041666666666666,0.2872340425531915,0.09809240462023101,0.336734693877551,6530.75,0
19,0,0,2,0,0.0,0.5,0.10526315789473684,0.21052631578947367,1,0.016666666666666666,0.0,0.0001,0.0013763763763763764,0.0,2.4568439996191892e-05,0.0,0.038461538461538464,0.003134796238244514,0.0002342664284296208,0.0,0.001567398119122257,0.0,0.038461538461538464,0.32,0.007177033492822967,0.0,0.0,0.0,0.0,0.0,0.05066417698441781,0.08784628528759399,0.07521029019240752,0.002740580504392758,0.0006415849715136273,0.0011958788176131485,0.12017326962761903,0.11803148163360737,0.1315465467411449,0.10144817755496946,0.6041666666666666,0.2872340425531915,0.09809240462023101,0.336734693877551,673.3666666666667,0
